,entrez_id,refseq_ids,official_symbol,official_full_name,taxname
36,7157,"['NM_000546', 'NM_001126112', 'NM_001126113', 'NM_001126114', 'NM_001126115', 'NM_001126116', 'NM_001126117', 'NM_001126118', 'NM_001276695', 'NM_001276696', 'NM_001276697', 'NM_001276698', 'NM_001276699', 'NM_001276760', 'NM_001276761']",TP53,tumor protein p53,Homo sapiens
37,51121,"['NM_001317980', 'NM_001317981', 'NM_001317982', 'NM_016093']",RPL26L1,ribosomal protein L26 like 1,Homo sapiens
38,1938,['NM_001961'],EEF2,eukaryotic translation elongation factor 2,Homo sapiens
39,6194,['NM_001010'],RPS6,ribosomal protein S6,Homo sapiens
40,2335,"['NM_001306129', 'NM_001306130', 'NM_001306131', 'NM_001306132', 'NM_001365517', 'NM_001365518', 'NM_001365519', 'NM_001365520', 'NM_001365521', 'NM_001365522', 'NM_001365523', 'NM_001365524', 'NM_002026', 'NM_054034', 'NM_212474', 'NM_212476', 'NM_212478', 'NM_212482']",FN1,fibronectin 1,Homo sapiens
41,1499,"['NM_001098209', 'NM_001098210', 'NM_001330729', 'NM_001904']",CTNNB1,catenin beta 1,Homo sapiens
42,6143,"['NM_000981', 'NM_001330200']",RPL19,ribosomal protein L19,Homo sapiens
43,6135,"['NM_000975', 'NM_001199802']",RPL11,ribosomal protein L11,Homo sapiens
44,7283,['NM_001070'],TUBG1,tubulin gamma 1,Homo sapiens
45,1915,['NM_001402'],EEF1A1,eukaryotic translation elongation factor 1 alpha 1,Homo sapiens
46,4809,"['NM_001003796', 'NM_005008']",SNU13,small nuclear ribonucleoprotein 13,Homo sapiens
47,6222,['NM_022551'],RPS18,ribosomal protein S18,Homo sapiens
48,5562,"['NM_001355028', 'NM_001355029', 'NM_001355034', 'NM_001355035', 'NM_001355036', 'NM_001355037', 'NM_006251', 'NM_206907']",PRKAA1,protein kinase AMP-activated catalytic subunit alpha 1,Homo sapiens
49,7919,"['NM_004640', 'NM_080598']",DDX39B,DExD-box helicase 39B,Homo sapiens
50,6147,['NM_000984'],RPL23A,ribosomal protein L23a,Homo sapiens
51,7381,"['NM_001199975', 'NM_001254752', 'NM_006294']",UQCRB,ubiquinol-cytochrome c reductase binding protein,Homo sapiens
52,9349,['NM_000978'],RPL23,ribosomal protein L23,Homo sapiens
53,3728,"['NM_001352773', 'NM_001352774', 'NM_001352775', 'NM_001352776', 'NM_001352777', 'NM_002230', 'NM_021991']",JUP,junction plakoglobin,Homo sapiens
54,292,['NM_001152'],SLC25A5,solute carrier family 25 member 5,Homo sapiens
55,1017,"['NM_001290230', 'NM_001798', 'NM_052827']",CDK2,cyclin dependent kinase 2,Homo sapiens
56,10399,['NM_006098'],RACK1,receptor for activated C kinase 1,Homo sapiens
57,23411,"['NM_001142498', 'NM_001314049', 'NM_012238']",SIRT1,sirtuin 1,Homo sapiens
58,6138,"['NM_001253379', 'NM_001253380', 'NM_001253382', 'NM_001253383', 'NM_001253384', 'NM_002948']",RPL15,ribosomal protein L15,Homo sapiens
59,1026,"['NM_000389', 'NM_001220777', 'NM_001220778', 'NM_001291549', 'NM_001374509', 'NM_001374510', 'NM_001374511', 'NM_001374512', 'NM_001374513', 'NM_078467']",CDKN1A,cyclin dependent kinase inhibitor 1A,Homo sapiens
60,9045,"['NM_001034996', 'NM_003973']",RPL14,ribosomal protein L14,Homo sapiens
61,6202,['NM_001012'],RPS8,ribosomal protein S8,Homo sapiens
62,4914,"['NM_001007792', 'NM_001012331', 'NM_002529']",NTRK1,neurotrophic receptor tyrosine kinase 1,Homo sapiens
63,6234,['NM_001031'],RPS28,ribosomal protein S28,Homo sapiens
64,156,['NM_001619'],GRK2,G protein-coupled receptor kinase 2,Homo sapiens
65,50,['NM_001098'],ACO2,aconitase 2,Homo sapiens
66,23521,"['NM_001270491', 'NM_012423']",RPL13A,ribosomal protein L13a,Homo sapiens
67,1025,['NM_001261'],CDK9,cyclin dependent kinase 9,Homo sapiens
68,6132,"['NM_000973', 'NM_001317771', 'NM_001317782', 'NM_033301']",RPL8,ribosomal protein L8,Homo sapiens
69,6207,['NM_001017'],RPS13,ribosomal protein S13,Homo sapiens
70,2932,"['NM_001146156', 'NM_001354596', 'NM_002093']",GSK3B,glycogen synthase kinase 3 beta,Homo sapiens
71,5728,"['NM_000314', 'NM_001304717', 'NM_001304718']",PTEN,phosphatase and tensin homolog,Homo sapiens
72,4724,"['NM_001318051', 'NM_002495']",NDUFS4,NADH:ubiquinone oxidoreductase subunit S4,Homo sapiens
73,6218,['NM_001021'],RPS17,ribosomal protein S17,Homo sapiens
74,10196,"['NM_001145166', 'NM_001145167', 'NM_005788']",PRMT3,protein arginine methyltransferase 3,Homo sapiens
75,6203,"['NM_001013', 'NM_001321701', 'NM_001321702', 'NM_001321704', 'NM_001321705', 'NM_001321706']",RPS9,ribosomal protein S9,Homo sapiens
76,7284,"['NM_001365360', 'NM_003321']",TUFM,"Tu translation elongation factor, mitochondrial",Homo sapiens
77,5501,"['NM_001244974', 'NM_002710']",PPP1CC,protein phosphatase 1 catalytic subunit gamma,Homo sapiens
78,708,['NM_001212'],C1QBP,complement C1q binding protein,Homo sapiens
79,3725,['NM_002228'],JUN,"Jun proto-oncogene, AP-1 transcription factor subunit",Homo sapiens
80,5567,"['NM_001242857', 'NM_001242858', 'NM_001242859', 'NM_001242860', 'NM_001242861', 'NM_001242862', 'NM_001300915', 'NM_001300916', 'NM_001300917', 'NM_001375560', 'NM_001375561', 'NM_001375562', 'NM_001375563', 'NM_001375564', 'NM_001375565', 'NM_001375569', 'NM_001375571', 'NM_001375572', 'NM_001375573', 'NM_001375574', 'NM_001375575', 'NM_001375576', 'NM_001375577', 'NM_001375578', 'NM_001375579', 'NM_001375580', 'NM_001375581', 'NM_002731', 'NM_182948', 'NM_207578']",PRKACB,protein kinase cAMP-activated catalytic subunit beta,Homo sapiens
81,302,"['NM_001002857', 'NM_001002858', 'NM_001136015', 'NM_004039']",ANXA2,annexin A2,Homo sapiens
82,3921,"['NM_001304288', 'NM_002295']",RPSA,ribosomal protein SA,Homo sapiens
83,5538,"['NM_000310', 'NM_001142604', 'NM_001363695']",PPT1,palmitoyl-protein thioesterase 1,Homo sapiens
84,1459,['NM_001896'],CSNK2A2,casein kinase 2 alpha 2,Homo sapiens
85,1454,"['NM_001894', 'NM_152221']",CSNK1E,casein kinase 1 epsilon,Homo sapiens
86,506,['NM_001686'],ATP5F1B,ATP synthase F1 subunit beta,Homo sapiens
87,2246,"['NM_000800', 'NM_001144892', 'NM_001144934', 'NM_001144935', 'NM_001257205', 'NM_001257206', 'NM_001257207', 'NM_001257208', 'NM_001257209', 'NM_001257210', 'NM_001257211', 'NM_001257212', 'NM_001354951', 'NM_001354952', 'NM_001354953', 'NM_001354954', 'NM_001354955', 'NM_001354956', 'NM_001354957', 'NM_001354958', 'NM_001354959', 'NM_001354961', 'NM_001354962', 'NM_001354963', 'NM_001354964', 'NM_033136', 'NM_033137']",FGF1,fibroblast growth factor 1,Homo sapiens
88,3326,"['NM_001271969', 'NM_001271970', 'NM_001271971', 'NM_001271972', 'NM_001371238', 'NM_007355']",HSP90AB1,heat shock protein 90 alpha family class B member 1,Homo sapiens
89,6122,"['NM_000967', 'NM_001033853']",RPL3,ribosomal protein L3,Homo sapiens
90,10856,"['NM_001321190', 'NM_001321191', 'NM_006666']",RUVBL2,RuvB like AAA ATPase 2,Homo sapiens
91,6193,['NM_001009'],RPS5,ribosomal protein S5,Homo sapiens
92,140801,['NM_080746'],RPL10L,ribosomal protein L10 like,Homo sapiens
93,11224,['NM_007209'],RPL35,ribosomal protein L35,Homo sapiens
94,6141,"['NM_000979', 'NM_001270490']",RPL18,ribosomal protein L18,Homo sapiens
95,291,['NM_001151'],SLC25A4,solute carrier family 25 member 4,Homo sapiens
96,2099,"['NM_000125', 'NM_001122740', 'NM_001122741', 'NM_001122742', 'NM_001291230', 'NM_001291241', 'NM_001328100', 'NM_001385568', 'NM_001385569', 'NM_001385570', 'NM_001385571', 'NM_001385572']",ESR1,estrogen receptor 1,Homo sapiens
97,6223,"['NM_001022', 'NM_001321483', 'NM_001321484', 'NM_001321485']",RPS19,ribosomal protein S19,Homo sapiens
98,4881,['NM_000906'],NPR1,natriuretic peptide receptor 1,Homo sapiens
99,7295,"['NM_001244938', 'NM_003329']",TXN,thioredoxin,Homo sapiens
100,3061,['NM_001525'],HCRTR1,hypocretin receptor 1,Homo sapiens
101,4879,['NM_002521'],NPPB,natriuretic peptide B,Homo sapiens
102,7322,"['NM_003339', 'NM_181838']",UBE2D2,ubiquitin conjugating enzyme E2 D2,Homo sapiens
103,4087,"['NM_001003652', 'NM_001135937', 'NM_005901']",SMAD2,SMAD family member 2,Homo sapiens
104,6850,"['NM_001135052', 'NM_001174167', 'NM_001174168', 'NM_003177']",SYK,spleen associated tyrosine kinase,Homo sapiens
105,2911,"['NM_001278064', 'NM_001278065', 'NM_001278066', 'NM_001278067']",GRM1,glutamate metabotropic receptor 1,Homo sapiens
106,8841,"['NM_001355039', 'NM_001355040', 'NM_001355041', 'NM_003883']",HDAC3,histone deacetylase 3,Homo sapiens
107,2885,"['NM_002086', 'NM_203506']",GRB2,growth factor receptor bound protein 2,Homo sapiens
108,2207,['NM_004106'],FCER1G,Fc fragment of IgE receptor Ig,Homo sapiens
109,203068,"['NM_001293212', 'NM_001293213', 'NM_001293214', 'NM_001293215', 'NM_001293216', 'NM_178014']",TUBB,tubulin beta class I,Homo sapiens
110,4233,"['NM_000245', 'NM_001127500', 'NM_001324401', 'NM_001324402']",MET,"MET proto-oncogene, receptor tyrosine kinase",Homo sapiens
111,351,"['NM_000484', 'NM_001136016', 'NM_001136129', 'NM_001136130', 'NM_001136131', 'NM_001204301', 'NM_001204302', 'NM_001204303', 'NM_001385253', 'NM_201413', 'NM_201414']",APP,amyloid beta precursor protein,Homo sapiens
112,54106,['NM_017442'],TLR9,toll like receptor 9,Homo sapiens
113,3066,['NM_001527'],HDAC2,histone deacetylase 2,Homo sapiens
114,2185,"['NM_004103', 'NM_173174', 'NM_173175', 'NM_173176']",PTK2B,protein tyrosine kinase 2 beta,Homo sapiens
115,3689,"['NM_000211', 'NM_001127491', 'NM_001303238']",ITGB2,integrin subunit beta 2,Homo sapiens
116,2205,"['NM_001387280', 'NM_001387281', 'NM_001387282', 'NM_002001']",FCER1A,Fc fragment of IgE receptor Ia,Homo sapiens
117,1439,['NM_000395'],CSF2RB,colony stimulating factor 2 receptor subunit beta,Homo sapiens
118,2209,"['NM_000566', 'NM_001378804', 'NM_001378805', 'NM_001378806', 'NM_001378807', 'NM_001378808', 'NM_001378809', 'NM_001378810', 'NM_001378811']",FCGR1A,Fc fragment of IgG receptor Ia,Homo sapiens
119,2064,"['NM_001005862', 'NM_001289936', 'NM_001289937', 'NM_001289938', 'NM_001382782', 'NM_001382783', 'NM_001382784', 'NM_001382785', 'NM_001382786', 'NM_001382787', 'NM_001382788', 'NM_001382789', 'NM_001382790', 'NM_001382791', 'NM_001382792', 'NM_001382793', 'NM_001382794', 'NM_001382795', 'NM_001382796', 'NM_001382797', 'NM_001382798', 'NM_001382799', 'NM_001382800', 'NM_001382801', 'NM_001382802', 'NM_001382803', 'NM_001382804', 'NM_001382805', 'NM_001382806', 'NM_004448']",ERBB2,erb-b2 receptor tyrosine kinase 2,Homo sapiens
120,5295,"['NM_001242466', 'NM_181504', 'NM_181523', 'NM_181524']",PIK3R1,phosphoinositide-3-kinase regulatory subunit 1,Homo sapiens
121,367,"['NM_000044', 'NM_001011645', 'NM_001348061', 'NM_001348063', 'NM_001348064']",AR,androgen receptor,Homo sapiens
122,5296,['NM_005027'],PIK3R2,phosphoinositide-3-kinase regulatory subunit 2,Homo sapiens
123,7099,"['NM_003266', 'NM_138554', 'NM_138557']",TLR4,toll like receptor 4,Homo sapiens
124,5294,"['NM_001282426', 'NM_001282427', 'NM_002649']",PIK3CG,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma",Homo sapiens
125,4137,"['NM_001123066', 'NM_001123067', 'NM_001203251', 'NM_001203252', 'NM_001377265', 'NM_001377266', 'NM_001377267', 'NM_001377268', 'NM_005910', 'NM_016834', 'NM_016835', 'NM_016841']",MAPT,microtubule associated protein tau,Homo sapiens
126,3932,"['NM_001042771', 'NM_001330468', 'NM_005356']",LCK,"LCK proto-oncogene, Src family tyrosine kinase",Homo sapiens
127,1956,"['NM_001346897', 'NM_001346898', 'NM_001346899', 'NM_001346900', 'NM_001346941', 'NM_005228', 'NM_201282', 'NM_201283', 'NM_201284']",EGFR,epidermal growth factor receptor,Homo sapiens
128,2322,['NM_004119'],FLT3,fms related receptor tyrosine kinase 3,Homo sapiens
129,9759,"['NM_001378414', 'NM_001378415', 'NM_001378416', 'NM_001378417', 'NM_006037']",HDAC4,histone deacetylase 4,Homo sapiens
130,7846,"['NM_001270399', 'NM_001270400', 'NM_006009']",TUBA1A,tubulin alpha 1a,Homo sapiens
131,5595,"['NM_001040056', 'NM_001109891', 'NM_002746']",MAPK3,mitogen-activated protein kinase 3,Homo sapiens
132,2534,"['NM_001370529', 'NM_002037', 'NM_153047', 'NM_153048']",FYN,"FYN proto-oncogene, Src family tyrosine kinase",Homo sapiens
133,3716,"['NM_001320923', 'NM_001321852', 'NM_001321853', 'NM_001321854', 'NM_001321855', 'NM_001321856', 'NM_001321857', 'NM_002227']",JAK1,Janus kinase 1,Homo sapiens
134,3065,['NM_004964'],HDAC1,histone deacetylase 1,Homo sapiens
135,9734,"['NM_001204144', 'NM_001204145', 'NM_001204146', 'NM_001204147', 'NM_001204148', 'NM_001321868', 'NM_001321869', 'NM_001321870', 'NM_001321871', 'NM_001321872', 'NM_001321873', 'NM_001321874', 'NM_001321875', 'NM_001321876', 'NM_001321877', 'NM_001321878', 'NM_001321879', 'NM_001321884', 'NM_001321885', 'NM_001321886', 'NM_001321887', 'NM_001321888', 'NM_001321889', 'NM_001321890', 'NM_001321891', 'NM_001321893', 'NM_001321894', 'NM_001321895', 'NM_001321896', 'NM_001321897', 'NM_001321898', 'NM_001321899', 'NM_001321900', 'NM_001321901', 'NM_001321902', 'NM_014707', 'NM_058176', 'NM_178423', 'NM_178425']",HDAC9,histone deacetylase 9,Homo sapiens
136,2066,"['NM_001042599', 'NM_005235']",ERBB4,erb-b2 receptor tyrosine kinase 4,Homo sapiens
137,2268,"['NM_001042729', 'NM_001042747', 'NM_005248']",FGR,"FGR proto-oncogene, Src family tyrosine kinase",Homo sapiens
138,695,"['NM_000061', 'NM_001287344', 'NM_001287345']",BTK,Bruton tyrosine kinase,Homo sapiens
139,10013,"['NM_001321225', 'NM_001321226', 'NM_001321227', 'NM_001321228', 'NM_001321229', 'NM_001321230', 'NM_001321231', 'NM_006044']",HDAC6,histone deacetylase 6,Homo sapiens
140,5578,['NM_002737'],PRKCA,protein kinase C alpha,Homo sapiens
141,6714,"['NM_005417', 'NM_198291']",SRC,"SRC proto-oncogene, non-receptor tyrosine kinase",Homo sapiens
142,6622,"['NM_000345', 'NM_001146054', 'NM_001146055', 'NM_001375285', 'NM_001375286', 'NM_001375287', 'NM_001375288', 'NM_001375290', 'NM_007308']",SNCA,synuclein alpha,Homo sapiens
143,3815,"['NM_000222', 'NM_001093772', 'NM_001385284', 'NM_001385285', 'NM_001385286', 'NM_001385288', 'NM_001385290', 'NM_001385292']",KIT,"KIT proto-oncogene, receptor tyrosine kinase",Homo sapiens
144,3690,['NM_000212'],ITGB3,integrin subunit beta 3,Homo sapiens
145,6774,"['NM_001369512', 'NM_001369513', 'NM_001369514', 'NM_001369516', 'NM_001369517', 'NM_001369518', 'NM_001369519', 'NM_001369520', 'NM_001384984', 'NM_001384985', 'NM_001384986', 'NM_001384987', 'NM_001384988', 'NM_001384989', 'NM_001384990', 'NM_001384991', 'NM_001384992', 'NM_001384993', 'NM_003150', 'NM_139276', 'NM_213662']",STAT3,signal transducer and activator of transcription 3,Homo sapiens
146,7132,"['NM_001065', 'NM_001346091', 'NM_001346092']",TNFRSF1A,TNF receptor superfamily member 1A,Homo sapiens
147,7277,"['NM_001278552', 'NM_006000']",TUBA4A,tubulin alpha 4a,Homo sapiens
148,5747,"['NM_001199649', 'NM_001316342', 'NM_001352694', 'NM_001352695', 'NM_001352696', 'NM_001352697', 'NM_001352698', 'NM_001352699', 'NM_001352700', 'NM_001352701', 'NM_001352702', 'NM_001352703', 'NM_001352704', 'NM_001352705', 'NM_001352706', 'NM_001352707', 'NM_001352708', 'NM_001352709', 'NM_001352710', 'NM_001352711', 'NM_001352712', 'NM_001352713', 'NM_001352714', 'NM_001352715', 'NM_001352716', 'NM_001352717', 'NM_001352718', 'NM_001352719', 'NM_001352720', 'NM_001352721', 'NM_001352722', 'NM_001352723', 'NM_001352724', 'NM_001352725', 'NM_001352726', 'NM_001352727', 'NM_001352728', 'NM_001352729', 'NM_001352730', 'NM_001352731', 'NM_001352732', 'NM_001352733', 'NM_001352734', 'NM_001352735', 'NM_001352736', 'NM_001352737', 'NM_001352738', 'NM_001352739', 'NM_001352740', 'NM_001352741', 'NM_001352742', 'NM_001352743', 'NM_001352744', 'NM_001352745', 'NM_001352746', 'NM_001352747', 'NM_001352748', 'NM_001352749', 'NM_001352750', 'NM_001352751', 'NM_001352752', 'NM_001387584', 'NM_001387585', 'NM_001387586', 'NM_001387587', 'NM_001387588', 'NM_001387589', 'NM_001387590', 'NM_001387591', 'NM_001387592', 'NM_001387603', 'NM_001387604', 'NM_001387605', 'NM_001387606', 'NM_001387607', 'NM_001387608', 'NM_001387609', 'NM_001387610', 'NM_001387611', 'NM_001387612', 'NM_001387613', 'NM_001387614', 'NM_001387615', 'NM_001387616', 'NM_001387617', 'NM_001387618', 'NM_001387619', 'NM_001387620', 'NM_001387621', 'NM_001387622', 'NM_001387623', 'NM_001387624', 'NM_001387625', 'NM_001387627', 'NM_001387628', 'NM_001387629', 'NM_001387630', 'NM_001387631', 'NM_001387632', 'NM_001387633', 'NM_001387634', 'NM_001387635', 'NM_001387636', 'NM_001387637', 'NM_001387638', 'NM_001387639', 'NM_001387640', 'NM_001387641', 'NM_001387642', 'NM_001387643', 'NM_001387644', 'NM_001387645', 'NM_001387646', 'NM_001387647', 'NM_001387648', 'NM_001387649', 'NM_001387650', 'NM_001387651', 'NM_001387652', 'NM_001387653', 'NM_001387654', 'NM_001387655', 'NM_001387656', 'NM_001387657', 'NM_001387658', 'NM_001387659', 'NM_001387660', 'NM_001387661', 'NM_001387662', 'NM_005607', 'NM_153831']",PTK2,protein tyrosine kinase 2,Homo sapiens
149,2057,['NM_000121'],EPOR,erythropoietin receptor,Homo sapiens
150,9146,['NM_004712'],HGS,hepatocyte growth factor-regulated tyrosine kinase substrate,Homo sapiens
151,1019,['NM_000075'],CDK4,cyclin dependent kinase 4,Homo sapiens
152,1021,"['NM_001145306', 'NM_001259']",CDK6,cyclin dependent kinase 6,Homo sapiens
153,2648,"['NM_001376227', 'NM_021078']",KAT2A,lysine acetyltransferase 2A,Homo sapiens
154,5894,"['NM_001354689', 'NM_001354690', 'NM_001354691', 'NM_001354692', 'NM_001354693', 'NM_001354694', 'NM_001354695', 'NM_002880']",RAF1,"Raf-1 proto-oncogene, serine/threonine kinase",Homo sapiens
155,4988,"['NM_000914', 'NM_001008503', 'NM_001008504', 'NM_001008505', 'NM_001145279', 'NM_001145280', 'NM_001145281', 'NM_001145282', 'NM_001145283', 'NM_001145284', 'NM_001145285', 'NM_001145286', 'NM_001145287', 'NM_001285522', 'NM_001285523', 'NM_001285524', 'NM_001285526', 'NM_001285527', 'NM_001285528']",OPRM1,opioid receptor mu 1,Homo sapiens
156,5156,"['NM_001347827', 'NM_001347828', 'NM_001347829', 'NM_001347830', 'NM_006206']",PDGFRA,platelet derived growth factor receptor alpha,Homo sapiens
157,134,"['NM_000674', 'NM_001048230', 'NM_001365065', 'NM_001365066']",ADORA1,adenosine A1 receptor,Homo sapiens
158,2597,"['NM_001256799', 'NM_001289745', 'NM_001289746', 'NM_001357943', 'NM_002046']",GAPDH,glyceraldehyde-3-phosphate dehydrogenase,Homo sapiens
159,3064,"['NM_001388492', 'NM_002111']",HTT,huntingtin,Homo sapiens
160,1969,"['NM_001329090', 'NM_004431']",EPHA2,EPH receptor A2,Homo sapiens
161,8678,"['NM_001313998', 'NM_001313999', 'NM_001314000', 'NM_003766']",BECN1,beclin 1,Homo sapiens
162,3480,"['NM_000875', 'NM_001291858']",IGF1R,insulin like growth factor 1 receptor,Homo sapiens
163,2264,"['NM_001291980', 'NM_001354984', 'NM_002011', 'NM_022963', 'NM_213647']",FGFR4,fibroblast growth factor receptor 4,Homo sapiens
164,3708,"['NM_001099952', 'NM_001168272', 'NM_001378452', 'NM_002222']",ITPR1,"inositol 1,4,5-trisphosphate receptor type 1",Homo sapiens
165,960,"['NM_000610', 'NM_001001389', 'NM_001001390', 'NM_001001391', 'NM_001001392', 'NM_001202555', 'NM_001202556', 'NM_001202557']",CD44,CD44 molecule (Indian blood group),Homo sapiens
166,7015,"['NM_001193376', 'NM_198253']",TERT,telomerase reverse transcriptase,Homo sapiens
167,3781,"['NM_001278204', 'NM_001372233', 'NM_021614', 'NM_170775']",KCNN2,potassium calcium-activated channel subfamily N member 2,Homo sapiens
168,3191,"['NM_001005335', 'NM_001385651', 'NM_001533']",HNRNPL,heterogeneous nuclear ribonucleoprotein L,Homo sapiens
169,6733,"['NM_001278273', 'NM_001350738', 'NM_001350739', 'NM_001350740', 'NM_001350741', 'NM_001350742', 'NM_001350743', 'NM_001350744', 'NM_001350745', 'NM_001350746', 'NM_182691', 'NM_182692']",SRPK2,SRSF protein kinase 2,Homo sapiens
170,4128,"['NM_000240', 'NM_001270458']",MAOA,monoamine oxidase A,Homo sapiens
171,2,"['NM_000014', 'NM_001347423', 'NM_001347424', 'NM_001347425']",A2M,alpha-2-macroglobulin,Homo sapiens
172,4129,['NM_000898'],MAOB,monoamine oxidase B,Homo sapiens
173,2562,"['NM_000814', 'NM_001191320', 'NM_001191321', 'NM_001278631', 'NM_021912']",GABRB3,gamma-aminobutyric acid type A receptor subunit beta3,Homo sapiens
174,5515,"['NM_001355019', 'NM_002715']",PPP2CA,protein phosphatase 2 catalytic subunit alpha,Homo sapiens
175,2559,['NM_000811'],GABRA6,gamma-aminobutyric acid type A receptor subunit alpha6,Homo sapiens
176,2561,"['NM_000813', 'NM_001371727', 'NM_021911']",GABRB2,gamma-aminobutyric acid type A receptor subunit beta2,Homo sapiens
177,23070,['NM_015050'],CMTR1,cap methyltransferase 1,Homo sapiens
178,8346,['NM_003525'],H2BC10,H2B clustered histone 10,Homo sapiens
179,5573,"['NM_001276289', 'NM_001276290', 'NM_001278433', 'NM_001369389', 'NM_001369390', 'NM_002734', 'NM_212471', 'NM_212472']",PRKAR1A,protein kinase cAMP-dependent type I regulatory subunit alpha,Homo sapiens
